True Cost (US$/kg product),State,County,Method of production,County_fips,County_full,State_ac,concatenated
2.761929296,Indiana,Marion County,Conventional,18097,Marion County,IN,"Marion County, IN"
2.620344232,Indiana,Lake County,Conventional,18089,Lake County,IN,"Lake County, IN"
2.572443204,Indiana,Allen County,Conventional,18003,Allen County,IN,"Allen County, IN"
2.634549551,Indiana,Hamilton County,Conventional,18057,Hamilton County,IN,"Hamilton County, IN"
2.645351717,Indiana,Elkhart County,Conventional,18039,Elkhart County,IN,"Elkhart County, IN"
2.490066353,Indiana,Tippecanoe County,Conventional,18157,Tippecanoe County,IN,"Tippecanoe County, IN"
2.414340634,Indiana,Vanderburgh County,Conventional,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
2.533986873,Indiana,Hendricks County,Conventional,18063,Hendricks County,IN,"Hendricks County, IN"
2.540054345,Indiana,Porter County,Conventional,18127,Porter County,IN,"Porter County, IN"
2.573560215,Indiana,Johnson County,Conventional,18081,Johnson County,IN,"Johnson County, IN"
2.562457654,Indiana,Monroe County,Conventional,18105,Monroe County,IN,"Monroe County, IN"
2.69049826,Indiana,Madison County,Conventional,18095,Madison County,IN,"Madison County, IN"
2.901441174,Indiana,Clark County,Conventional,18019,Clark County,IN,"Clark County, IN"
2.577490003,Indiana,LaPorte County,Conventional,18091,LaPorte County,IN,"LaPorte County, IN"
2.65985643,Indiana,Delaware County,Conventional,18035,Delaware County,IN,"Delaware County, IN"
2.593612207,Indiana,Vigo County,Conventional,18167,Vigo County,IN,"Vigo County, IN"
2.469633504,Indiana,Howard County,Conventional,18067,Howard County,IN,"Howard County, IN"
2.560045495,Indiana,Bartholomew County,Conventional,18005,Bartholomew County,IN,"Bartholomew County, IN"
2.601688218,Indiana,Kosciusko County,Conventional,18085,Kosciusko County,IN,"Kosciusko County, IN"
3.023737682,Indiana,Floyd County,Conventional,18043,Floyd County,IN,"Floyd County, IN"
2.848614515,Indiana,Hancock County,Conventional,18059,Hancock County,IN,"Hancock County, IN"
2.578277716,Indiana,Morgan County,Conventional,18109,Morgan County,IN,"Morgan County, IN"
2.587998574,Indiana,Boone County,Conventional,18011,Boone County,IN,"Boone County, IN"
2.518938085,Indiana,Grant County,Conventional,18053,Grant County,IN,"Grant County, IN"
2.553014534,Indiana,Wayne County,Conventional,18177,Wayne County,IN,"Wayne County, IN"
2.535321305,Indiana,Warrick County,Conventional,18173,Warrick County,IN,"Warrick County, IN"
3.273029041,Indiana,Dearborn County,Conventional,18029,Dearborn County,IN,"Dearborn County, IN"
2.672374958,Indiana,Henry County,Conventional,18065,Henry County,IN,"Henry County, IN"
2.493766967,Indiana,Noble County,Conventional,18113,Noble County,IN,"Noble County, IN"
2.55241454,Indiana,Jackson County,Conventional,18071,Jackson County,IN,"Jackson County, IN"
2.544131851,Indiana,Marshall County,Conventional,18099,Marshall County,IN,"Marshall County, IN"
2.585088491,Indiana,Lawrence County,Conventional,18093,Lawrence County,IN,"Lawrence County, IN"
2.525919768,Indiana,Shelby County,Conventional,18145,Shelby County,IN,"Shelby County, IN"
2.620621174,Indiana,Dubois County,Conventional,18037,Dubois County,IN,"Dubois County, IN"
2.537795019,Indiana,DeKalb County,Conventional,18033,DeKalb County,IN,"DeKalb County, IN"
2.705298709,Indiana,LaGrange County,Conventional,18087,LaGrange County,IN,"LaGrange County, IN"
2.85510027,Indiana,Harrison County,Conventional,18061,Harrison County,IN,"Harrison County, IN"
2.439793887,Indiana,Montgomery County,Conventional,18107,Montgomery County,IN,"Montgomery County, IN"
2.518275009,Indiana,Cass County,Conventional,18017,Cass County,IN,"Cass County, IN"
2.402057818,Indiana,Putnam County,Conventional,18133,Putnam County,IN,"Putnam County, IN"
2.533347091,Indiana,Huntington County,Conventional,18069,Huntington County,IN,"Huntington County, IN"
2.646392324,Indiana,Knox County,Conventional,18083,Knox County,IN,"Knox County, IN"
2.616498541,Indiana,Miami County,Conventional,18103,Miami County,IN,"Miami County, IN"
2.605284845,Indiana,Adams County,Conventional,18001,Adams County,IN,"Adams County, IN"
2.489942202,Indiana,Steuben County,Conventional,18151,Steuben County,IN,"Steuben County, IN"
2.497159873,Indiana,Whitley County,Conventional,18183,Whitley County,IN,"Whitley County, IN"
2.614702868,Indiana,Daviess County,Conventional,18027,Daviess County,IN,"Daviess County, IN"
3.232979314,Indiana,Jefferson County,Conventional,18077,Jefferson County,IN,"Jefferson County, IN"
2.517727515,Indiana,Jasper County,Conventional,18073,Jasper County,IN,"Jasper County, IN"
2.555859423,Indiana,Clinton County,Conventional,18023,Clinton County,IN,"Clinton County, IN"
2.524686808,Indiana,Gibson County,Conventional,18051,Gibson County,IN,"Gibson County, IN"
2.528667126,Indiana,Wabash County,Conventional,18169,Wabash County,IN,"Wabash County, IN"
2.573061723,Indiana,Greene County,Conventional,18055,Greene County,IN,"Greene County, IN"
2.893539963,Indiana,Ripley County,Conventional,18137,Ripley County,IN,"Ripley County, IN"
2.568590672,Indiana,Wells County,Conventional,18179,Wells County,IN,"Wells County, IN"
2.791349028,Indiana,Washington County,Conventional,18175,Washington County,IN,"Washington County, IN"
2.813629047,Indiana,Jennings County,Conventional,18079,Jennings County,IN,"Jennings County, IN"
2.527045253,Indiana,Decatur County,Conventional,18031,Decatur County,IN,"Decatur County, IN"
2.708500639,Indiana,Clay County,Conventional,18021,Clay County,IN,"Clay County, IN"
2.491944471,Indiana,Posey County,Conventional,18129,Posey County,IN,"Posey County, IN"
2.548129311,Indiana,White County,Conventional,18181,White County,IN,"White County, IN"
2.58111286,Indiana,Randolph County,Conventional,18135,Randolph County,IN,"Randolph County, IN"
2.720112975,Indiana,Scott County,Conventional,18143,Scott County,IN,"Scott County, IN"
2.516654604,Indiana,Fayette County,Conventional,18041,Fayette County,IN,"Fayette County, IN"
2.563061246,Indiana,Starke County,Conventional,18149,Starke County,IN,"Starke County, IN"
2.820424328,Indiana,Franklin County,Conventional,18047,Franklin County,IN,"Franklin County, IN"
2.562056921,Indiana,Owen County,Conventional,18119,Owen County,IN,"Owen County, IN"
2.640652804,Indiana,Sullivan County,Conventional,18153,Sullivan County,IN,"Sullivan County, IN"
2.591022187,Indiana,Jay County,Conventional,18075,Jay County,IN,"Jay County, IN"
2.584810262,Indiana,Fulton County,Conventional,18049,Fulton County,IN,"Fulton County, IN"
2.421540049,Indiana,Carroll County,Conventional,18015,Carroll County,IN,"Carroll County, IN"
2.534437025,Indiana,Spencer County,Conventional,18147,Spencer County,IN,"Spencer County, IN"
2.536986435,Indiana,Orange County,Conventional,18117,Orange County,IN,"Orange County, IN"
2.737058898,Indiana,Perry County,Conventional,18123,Perry County,IN,"Perry County, IN"
2.420430268,Indiana,Rush County,Conventional,18139,Rush County,IN,"Rush County, IN"
2.526412208,Indiana,Fountain County,Conventional,18045,Fountain County,IN,"Fountain County, IN"
2.553399636,Indiana,Parke County,Conventional,18121,Parke County,IN,"Parke County, IN"
2.463663518,Indiana,Brown County,Conventional,18013,Brown County,IN,"Brown County, IN"
2.557242433,Indiana,Vermillion County,Conventional,18165,Vermillion County,IN,"Vermillion County, IN"
2.483848823,Indiana,Tipton County,Conventional,18159,Tipton County,IN,"Tipton County, IN"
2.531266399,Indiana,Newton County,Conventional,18111,Newton County,IN,"Newton County, IN"
2.785618296,Indiana,Pulaski County,Conventional,18131,Pulaski County,IN,"Pulaski County, IN"
2.552510153,Indiana,Pike County,Conventional,18125,Pike County,IN,"Pike County, IN"
2.502132539,Indiana,Blackford County,Conventional,18009,Blackford County,IN,"Blackford County, IN"
2.605888542,Indiana,Crawford County,Conventional,18025,Crawford County,IN,"Crawford County, IN"
2.584725396,Indiana,Switzerland County,Conventional,18155,Switzerland County,IN,"Switzerland County, IN"
2.819241519,Indiana,Martin County,Conventional,18101,Martin County,IN,"Martin County, IN"
2.497443191,Indiana,Benton County,Conventional,18007,Benton County,IN,"Benton County, IN"
2.375270214,Indiana,Warren County,Conventional,18171,Warren County,IN,"Warren County, IN"
2.563810762,Indiana,Union County,Conventional,18161,Union County,IN,"Union County, IN"
3.362096512,Indiana,Ohio County,Conventional,18115,Ohio County,IN,"Ohio County, IN"
2.966249857,Minnesota,Hennepin County,Conventional,27053,Hennepin County,MN,"Hennepin County, MN"
2.623175422,Minnesota,Ramsey County,Conventional,27123,Ramsey County,MN,"Ramsey County, MN"
2.783452936,Minnesota,Dakota County,Conventional,27037,Dakota County,MN,"Dakota County, MN"
2.812354756,Minnesota,Anoka County,Conventional,27003,Anoka County,MN,"Anoka County, MN"
2.656427505,Minnesota,Washington County,Conventional,27163,Washington County,MN,"Washington County, MN"
2.72105035,Minnesota,Olmsted County,Conventional,27109,Olmsted County,MN,"Olmsted County, MN"
2.710274992,Minnesota,Stearns County,Conventional,27145,Stearns County,MN,"Stearns County, MN"
2.731001163,Minnesota,Scott County,Conventional,27139,Scott County,MN,"Scott County, MN"
2.740123387,Minnesota,Wright County,Conventional,27171,Wright County,MN,"Wright County, MN"
2.63698949,Minnesota,Carver County,Conventional,27019,Carver County,MN,"Carver County, MN"
2.81289838,Minnesota,Sherburne County,Conventional,27141,Sherburne County,MN,"Sherburne County, MN"
2.613147736,Minnesota,Blue Earth County,Conventional,27013,Blue Earth County,MN,"Blue Earth County, MN"
2.729446961,Minnesota,Rice County,Conventional,27131,Rice County,MN,"Rice County, MN"
2.695782175,Minnesota,Crow Wing County,Conventional,27035,Crow Wing County,MN,"Crow Wing County, MN"
2.871333436,Minnesota,Clay County,Conventional,27027,Clay County,MN,"Clay County, MN"
2.807659018,Minnesota,Otter Tail County,Conventional,27111,Otter Tail County,MN,"Otter Tail County, MN"
3.006878876,Minnesota,Chisago County,Conventional,27025,Chisago County,MN,"Chisago County, MN"
2.554040186,Minnesota,Winona County,Conventional,27169,Winona County,MN,"Winona County, MN"
2.587628782,Minnesota,Goodhue County,Conventional,27049,Goodhue County,MN,"Goodhue County, MN"
2.963135056,Minnesota,Beltrami County,Conventional,27007,Beltrami County,MN,"Beltrami County, MN"
2.661184215,Minnesota,Itasca County,Conventional,27061,Itasca County,MN,"Itasca County, MN"
2.758073762,Minnesota,Kandiyohi County,Conventional,27067,Kandiyohi County,MN,"Kandiyohi County, MN"
2.741267335,Minnesota,Benton County,Conventional,27009,Benton County,MN,"Benton County, MN"
3.175429791,Minnesota,Isanti County,Conventional,27059,Isanti County,MN,"Isanti County, MN"
2.645631092,Minnesota,Mower County,Conventional,27099,Mower County,MN,"Mower County, MN"
2.782716482,Minnesota,Douglas County,Conventional,27041,Douglas County,MN,"Douglas County, MN"
2.719512775,Minnesota,Steele County,Conventional,27147,Steele County,MN,"Steele County, MN"
2.682479061,Minnesota,McLeod County,Conventional,27085,McLeod County,MN,"McLeod County, MN"
2.665635698,Minnesota,Carlton County,Conventional,27017,Carlton County,MN,"Carlton County, MN"
2.945317323,Minnesota,Becker County,Conventional,27005,Becker County,MN,"Becker County, MN"
2.601288836,Minnesota,Nicollet County,Conventional,27103,Nicollet County,MN,"Nicollet County, MN"
2.766220797,Minnesota,Morrison County,Conventional,27097,Morrison County,MN,"Morrison County, MN"
2.97451037,Minnesota,Polk County,Conventional,27119,Polk County,MN,"Polk County, MN"
2.646548485,Minnesota,Freeborn County,Conventional,27047,Freeborn County,MN,"Freeborn County, MN"
2.673754626,Minnesota,Cass County,Conventional,27021,Cass County,MN,"Cass County, MN"
2.873828007,Minnesota,Pine County,Conventional,27115,Pine County,MN,"Pine County, MN"
2.756037422,Minnesota,Le Sueur County,Conventional,27079,Le Sueur County,MN,"Le Sueur County, MN"
3.037689017,Minnesota,Mille Lacs County,Conventional,27095,Mille Lacs County,MN,"Mille Lacs County, MN"
2.699843595,Minnesota,Brown County,Conventional,27015,Brown County,MN,"Brown County, MN"
2.712742937,Minnesota,Lyon County,Conventional,27083,Lyon County,MN,"Lyon County, MN"
2.802209169,Minnesota,Todd County,Conventional,27153,Todd County,MN,"Todd County, MN"
2.731994113,Minnesota,Meeker County,Conventional,27093,Meeker County,MN,"Meeker County, MN"
2.733635965,Minnesota,Nobles County,Conventional,27105,Nobles County,MN,"Nobles County, MN"
2.787125798,Minnesota,Hubbard County,Conventional,27057,Hubbard County,MN,"Hubbard County, MN"
2.706000493,Minnesota,Wabasha County,Conventional,27157,Wabasha County,MN,"Wabasha County, MN"
2.580873944,Minnesota,Fillmore County,Conventional,27045,Fillmore County,MN,"Fillmore County, MN"
2.67727274,Minnesota,Dodge County,Conventional,27039,Dodge County,MN,"Dodge County, MN"
2.583245981,Minnesota,Martin County,Conventional,27091,Martin County,MN,"Martin County, MN"
2.589205336,Minnesota,Waseca County,Conventional,27161,Waseca County,MN,"Waseca County, MN"
2.540264859,Minnesota,Houston County,Conventional,27055,Houston County,MN,"Houston County, MN"
2.693161256,Minnesota,Kanabec County,Conventional,27065,Kanabec County,MN,"Kanabec County, MN"
2.650285354,Minnesota,Aitkin County,Conventional,27001,Aitkin County,MN,"Aitkin County, MN"
2.651838624,Minnesota,Redwood County,Conventional,27127,Redwood County,MN,"Redwood County, MN"
2.962133324,Minnesota,Roseau County,Conventional,27135,Roseau County,MN,"Roseau County, MN"
2.65514022,Minnesota,Sibley County,Conventional,27143,Sibley County,MN,"Sibley County, MN"
2.673674517,Minnesota,Renville County,Conventional,27129,Renville County,MN,"Renville County, MN"
2.759327351,Minnesota,Wadena County,Conventional,27159,Wadena County,MN,"Wadena County, MN"
2.727674148,Minnesota,Pennington County,Conventional,27113,Pennington County,MN,"Pennington County, MN"
2.583513941,Minnesota,Faribault County,Conventional,27043,Faribault County,MN,"Faribault County, MN"
2.715786124,Minnesota,Chippewa County,Conventional,27023,Chippewa County,MN,"Chippewa County, MN"
2.998740046,Minnesota,Koochiching County,Conventional,27071,Koochiching County,MN,"Koochiching County, MN"
2.683256459,Minnesota,Cottonwood County,Conventional,27033,Cottonwood County,MN,"Cottonwood County, MN"
2.737983476,Minnesota,Pope County,Conventional,27121,Pope County,MN,"Pope County, MN"
2.685281943,Minnesota,Watonwan County,Conventional,27165,Watonwan County,MN,"Watonwan County, MN"
2.694534504,Minnesota,Jackson County,Conventional,27063,Jackson County,MN,"Jackson County, MN"
2.774345598,Minnesota,Swift County,Conventional,27151,Swift County,MN,"Swift County, MN"
2.776007424,Minnesota,Stevens County,Conventional,27149,Stevens County,MN,"Stevens County, MN"
2.646731316,Minnesota,Rock County,Conventional,27133,Rock County,MN,"Rock County, MN"
2.72663648,Minnesota,Pipestone County,Conventional,27117,Pipestone County,MN,"Pipestone County, MN"
3.04548807,Minnesota,Marshall County,Conventional,27089,Marshall County,MN,"Marshall County, MN"
2.746208719,Minnesota,Clearwater County,Conventional,27029,Clearwater County,MN,"Clearwater County, MN"
2.835819259,Minnesota,Murray County,Conventional,27101,Murray County,MN,"Murray County, MN"
2.676344547,Minnesota,Lac qui Parle County,Conventional,27073,Lac qui Parle County,MN,"Lac qui Parle County, MN"
2.994668017,Minnesota,Norman County,Conventional,27107,Norman County,MN,"Norman County, MN"
2.764285515,Minnesota,Wilkin County,Conventional,27167,Wilkin County,MN,"Wilkin County, MN"
2.771232843,Minnesota,Grant County,Conventional,27051,Grant County,MN,"Grant County, MN"
2.844491453,Minnesota,Lincoln County,Conventional,27081,Lincoln County,MN,"Lincoln County, MN"
2.743477964,Minnesota,Mahnomen County,Conventional,27087,Mahnomen County,MN,"Mahnomen County, MN"
2.795233864,Minnesota,Big Stone County,Conventional,27011,Big Stone County,MN,"Big Stone County, MN"
3.156935073,Minnesota,Kittson County,Conventional,27069,Kittson County,MN,"Kittson County, MN"
2.920906865,Minnesota,Red Lake County,Conventional,27125,Red Lake County,MN,"Red Lake County, MN"
2.998455901,Minnesota,Lake of the Woods County,Conventional,27077,Lake of the Woods County,MN,"Lake of the Woods County, MN"
2.880159815,Minnesota,Traverse County,Conventional,27155,Traverse County,MN,"Traverse County, MN"
